인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
147,147,0.02647117,0.0258844,0.305830973,0.040491561,0.034257022,1.455742213,97.7833611,84.60286963,1.60002594,1.60002594,0.692758484,0.02647117,0.0258844
148,148,0.026533189,0.025457886,0.306906277,0.04058525,0.033699228,1.462628236,95.94732527,83.03319033,1.60002594,1.60002594,0.698262634,0.026533189,0.025457886
149,149,0.026120053,0.025589746,0.307436583,0.039953578,0.033862925,1.468718889,97.96973386,84.75567531,1.600331726,1.600331726,0.687254333,0.026120053,0.025589746
150,150,0.02624447,0.02547905,0.308202004,0.040140767,0.033724575,1.475135081,97.08349788,84.01577063,1.60002594,1.60002594,0.692452698,0.02624447,0.02547905
151,151,0.026243269,0.025290679,0.309154593,0.040150387,0.033474466,1.481811002,96.37015792,83.37271101,1.600331726,1.600331726,0.691841125,0.026243269,0.025290679
152,152,0.025882855,0.025247358,0.30979009,0.03959119,0.033422019,1.487980172,97.54471752,84.41781996,1.60002594,1.60002594,0.688018799,0.025882855,0.025247358
153,153,0.025954299,0.025309636,0.310434754,0.039704321,0.033507026,1.494177467,97.51615963,84.39138413,1.600484619,1.600484619,0.693828735,0.025954299,0.025309636
154,154,0.025954578,0.024998931,0.3113904,0.039709212,0.033073158,1.500813522,96.31800334,83.28837583,1.60002594,1.60002594,0.695204773,0.025954578,0.024998931
155,155,0.025593257,0.024897336,0.312086322,0.039149296,0.03294767,1.507015148,97.28084096,84.15903352,1.60002594,1.60002594,0.687407227,0.025593257,0.024897336
156,156,0.025662473,0.024960231,0.312788564,0.039260318,0.033025825,1.513249642,97.26354498,84.12011501,1.60002594,1.60002594,0.699485779,0.025662473,0.024960231
157,157,0.025612178,0.024776183,0.313624558,0.039188492,0.03278244,1.519655694,96.7359488,83.653232,1.60002594,1.60002594,0.697803955,0.025612178,0.024776183
158,158,0.025357507,0.024600133,0.314381932,0.038789747,0.032532513,1.525912928,97.01321528,83.86884567,1.600178833,1.600178833,0.697498169,0.025357507,0.024600133
159,159,0.025377861,0.024728628,0.315031165,0.038830823,0.032709249,1.532034502,97.44173775,84.23527071,1.60002594,1.60002594,0.690159302,0.025377861,0.024728628
